Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.054515,0.002456,0.000001,0.004825,0.280219,0.002671,0.000001,0.001517,0.000014,0.001718,0.000001,0.347937
0.071657,0.002428,0.000001,0.002696,0.244604,0.002223,0.000001,0.002372,0.000012,0.001391,0.000001,0.327387
0.070407,0.002446,0.000001,0.002575,0.262103,0.002525,0.000001,0.001297,0.000010,0.001410,0.000001,0.342774
0.064732,0.002672,0.000001,0.003351,0.274192,0.002677,0.000001,0.001478,0.000015,0.001395,0.000001,0.350514
0.062422,0.002606,0.000001,0.003482,0.280040,0.002484,0.000001,0.002213,0.000010,0.001391,0.000001,0.354649
0.060113,0.002529,0.000001,0.002606,0.272012,0.002550,0.000001,0.001309,0.000018,0.001852,0.000001,0.342992
0.075858,0.040277,0.000001,0.002460,0.272280,0.002472,0.000001,0.001231,0.000012,0.001671,0.000001,0.396264
0.064136,0.020951,0.000001,0.005092,0.270756,0.002227,0.000001,0.001641,0.000007,0.001387,0.000001,0.366198
0.038894,0.003869,0.000001,0.004635,0.638116,0.002375,0.000001,0.001693,0.000011,0.001562,0.000001,0.691155
0.069580,0.041223,0.000001,0.002295,0.269871,0.002120,0.000000,0.001720,0.000011,0.004260,0.000001,0.391080
0.061468,0.122405,0.000001,0.002898,0.088265,0.002332,0.000001,0.001998,0.000012,0.001463,0.000001,0.280844
0.061795,0.090925,0.000000,0.002290,0.264656,0.002401,0.000001,0.001262,0.000010,0.001371,0.000001,0.424712
0.067332,0.002540,0.000001,0.004663,0.621065,0.002279,0.000001,0.001814,0.000056,0.001440,0.000001,0.701192
0.072191,0.068947,0.000001,0.002514,0.258005,0.002047,0.000000,0.001314,0.000007,0.001413,0.000001,0.406441
0.062228,0.105573,0.000001,0.001911,0.186594,0.002127,0.000001,0.001655,0.000012,0.001840,0.000001,0.361942
0.067926,0.083173,0.000001,0.002646,0.330242,0.011019,0.000002,0.003054,0.000011,0.001789,0.000001,0.499865
0.059769,0.134022,0.000001,0.002243,0.230436,0.002129,0.000001,0.001200,0.000010,0.001363,0.000001,0.431175
0.061474,0.152372,0.000002,0.002234,0.082494,0.001907,0.000000,0.001081,0.000008,0.001320,0.000001,0.302894
0.069995,0.025035,0.000001,0.002371,0.082462,0.002787,0.000001,0.001266,0.000011,0.001596,0.000001,0.185524
0.061153,0.093049,0.000000,0.002315,0.262787,0.002128,0.000000,0.001261,0.000011,0.001307,0.000001,0.424013
0.084629,0.108534,0.000001,0.002423,0.207281,0.002468,0.000001,0.001381,0.000018,0.001890,0.000001,0.408628
0.073808,0.090358,0.000001,0.002488,0.237072,0.002223,0.000001,0.001221,0.000020,0.002053,0.000001,0.409245
0.063198,0.053328,0.000000,0.002319,0.086966,0.003272,0.000001,0.001614,0.000011,0.001203,0.000000,0.211914
0.062353,0.062279,0.000001,0.001944,0.226637,0.002960,0.000001,0.001443,0.000008,0.001715,0.000001,0.359341
0.069120,0.069691,0.000001,0.002523,0.277048,0.002503,0.000001,0.001345,0.000009,0.001424,0.000001,0.423665
0.060780,0.044509,0.000001,0.002301,0.086398,0.002176,0.000001,0.001542,0.000012,0.002375,0.000001,0.200096
0.067219,0.003274,0.000001,0.002477,0.220472,0.002551,0.000001,0.002256,0.000010,0.001584,0.000000,0.299844
0.082144,0.013706,0.000000,0.005847,0.262421,0.002586,0.000001,0.002264,0.000013,0.001679,0.000001,0.370662
0.105885,0.003409,0.000001,0.002851,0.084586,0.002095,0.000001,0.001320,0.000011,0.001363,0.000001,0.201523
0.059840,0.026663,0.000001,0.002282,0.235267,0.002928,0.000001,0.002632,0.000010,0.001530,0.000001,0.331154
0.075118,0.002338,0.000001,0.001741,0.089493,0.002238,0.000001,0.001219,0.000026,0.001296,0.000001,0.173471
