Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.042081,0.003761,0.000001,0.002687,0.202902,0.002062,0.000000,0.001365,0.000009,0.001916,0.000001,0.256785
0.054253,0.002728,0.000001,0.002489,0.184939,0.002037,0.000001,0.001189,0.000010,0.001256,0.000001,0.248902
0.073404,0.002596,0.000001,0.002791,0.206117,0.008638,0.000001,0.001371,0.000015,0.003008,0.000001,0.297942
0.090077,0.002785,0.000001,0.002036,0.267289,0.002391,0.000001,0.002191,0.000010,0.002223,0.000000,0.369004
0.065729,0.002708,0.000001,0.002538,0.205985,0.001929,0.000001,0.001866,0.000012,0.002703,0.000001,0.283472
0.075133,0.002651,0.000001,0.002455,0.295838,0.002220,0.000001,0.002203,0.000010,0.002212,0.000000,0.382724
0.072970,0.002720,0.000001,0.002611,0.279783,0.001886,0.000001,0.001376,0.000015,0.001510,0.000001,0.362872
0.065700,0.002448,0.000001,0.001690,0.191334,0.001626,0.000001,0.001067,0.000009,0.001297,0.000000,0.265173
0.068104,0.002377,0.000001,0.001797,0.209174,0.001863,0.000001,0.001205,0.000010,0.001325,0.000001,0.285857
0.067452,0.002529,0.000001,0.002563,0.294234,0.001794,0.000001,0.001180,0.000010,0.001423,0.000001,0.371188
0.064284,0.030530,0.000000,0.002539,0.202642,0.001659,0.000001,0.001150,0.000008,0.001245,0.000001,0.304059
0.060435,0.019628,0.000001,0.001685,0.190739,0.001958,0.000002,0.001328,0.000012,0.001264,0.000001,0.277052
0.062704,0.002096,0.000001,0.001694,0.302461,0.001715,0.000001,0.001211,0.000013,0.001397,0.000001,0.373293
0.060223,0.002203,0.000001,0.001932,0.184148,0.001842,0.000001,0.001131,0.000010,0.001223,0.000001,0.252714
0.066056,0.002455,0.000001,0.001934,0.221257,0.001545,0.000000,0.001202,0.000012,0.001348,0.000001,0.295810
0.078775,0.002372,0.000001,0.002122,0.293922,0.001671,0.000001,0.001210,0.000010,0.001229,0.000001,0.381312
0.061227,0.002354,0.000001,0.002023,0.198684,0.001788,0.000001,0.001684,0.000009,0.001226,0.000001,0.268997
0.061559,0.002250,0.000001,0.001750,0.236845,0.001575,0.000001,0.001180,0.000012,0.001403,0.000001,0.306576
0.061484,0.002367,0.000001,0.002016,0.254633,0.001567,0.000001,0.001583,0.000011,0.001562,0.000001,0.325226
0.071529,0.002380,0.000001,0.002023,0.210344,0.001705,0.000001,0.001260,0.000013,0.001400,0.000001,0.290657
0.063183,0.010629,0.000000,0.001887,0.249123,0.001653,0.000001,0.001186,0.000009,0.001214,0.000001,0.328885
0.069567,0.002779,0.000003,0.001855,0.308062,0.001703,0.000001,0.001286,0.000009,0.001300,0.000001,0.386566
0.069933,0.002381,0.000001,0.002149,0.203153,0.001729,0.000001,0.001378,0.000018,0.001406,0.000001,0.282149
0.068810,0.002437,0.000001,0.002497,0.298147,0.001937,0.000001,0.001325,0.000011,0.001434,0.000001,0.376600
0.061737,0.002504,0.000001,0.001961,0.209987,0.001645,0.000001,0.001058,0.000009,0.001248,0.000001,0.280151
0.078360,0.002417,0.000001,0.002067,0.290464,0.001714,0.000001,0.001245,0.000010,0.001150,0.000001,0.377428
0.087734,0.002684,0.000001,0.001748,0.266685,0.001738,0.000001,0.001953,0.000015,0.002451,0.000001,0.365011
0.074510,0.010561,0.000000,0.002042,0.243904,0.001634,0.000001,0.001238,0.000011,0.001769,0.000001,0.335672
0.073766,0.002433,0.000001,0.002352,0.268560,0.001868,0.000001,0.001406,0.000013,0.001423,0.000001,0.351824
0.070703,0.009531,0.000001,0.001992,0.203975,0.002050,0.000001,0.003250,0.000012,0.001373,0.000001,0.292889
0.070855,0.002602,0.000001,0.002464,0.253393,0.001851,0.000001,0.001141,0.000010,0.001375,0.000001,0.333694
0.060623,0.009737,0.000001,0.002082,0.209022,0.001989,0.000001,0.001189,0.000009,0.001324,0.000001,0.285977
0.059268,0.002276,0.000001,0.001856,0.224399,0.002052,0.000001,0.001208,0.000011,0.001375,0.000001,0.292445
0.062666,0.008587,0.000001,0.001963,0.201571,0.001620,0.000001,0.002722,0.000008,0.002557,0.000001,0.281697
0.059759,0.002762,0.000002,0.002465,0.277176,0.001617,0.000001,0.001100,0.000007,0.002657,0.000000,0.347545
0.061790,0.034600,0.000001,0.002057,0.216129,0.002101,0.000000,0.001065,0.000008,0.001116,0.000000,0.318868
0.060613,0.002372,0.000001,0.001690,0.191258,0.001534,0.000000,0.001264,0.000009,0.001312,0.000001,0.260055
0.061033,0.022692,0.000001,0.001971,0.293679,0.001769,0.000001,0.001235,0.000012,0.001292,0.000001,0.383683
0.062173,0.002242,0.000001,0.001755,0.272753,0.001895,0.000001,0.001155,0.000007,0.001216,0.000001,0.343198
0.062277,0.002730,0.000001,0.001820,0.220826,0.001769,0.000001,0.002157,0.000017,0.001872,0.000001,0.293471
0.061241,0.015196,0.000000,0.001673,0.194097,0.001427,0.000001,0.001135,0.000008,0.001278,0.000001,0.276056
0.062427,0.002260,0.000001,0.002027,0.275579,0.001706,0.000001,0.001166,0.000008,0.001166,0.000001,0.346341
0.086172,0.002458,0.000001,0.001705,0.194480,0.002035,0.000001,0.001232,0.000011,0.001219,0.000001,0.289312
0.099175,0.002644,0.000001,0.001839,0.245450,0.001621,0.000001,0.001307,0.000013,0.001290,0.000001,0.353342
0.068412,0.002467,0.000001,0.002209,0.239082,0.001609,0.000001,0.001313,0.000009,0.001216,0.000001,0.316319
0.065965,0.013684,0.000001,0.002114,0.298522,0.001804,0.000001,0.001240,0.000011,0.001334,0.000001,0.384674
0.065859,0.002254,0.000001,0.001838,0.182884,0.001370,0.000000,0.001676,0.000009,0.001153,0.000001,0.257046
0.098850,0.002449,0.000001,0.002363,0.298170,0.001603,0.000001,0.002194,0.000009,0.001359,0.000001,0.406998
0.093337,0.003118,0.000001,0.001745,0.271159,0.001911,0.000001,0.001438,0.014376,0.001634,0.000001,0.388721
0.068555,0.002343,0.000001,0.002113,0.280297,0.002208,0.000001,0.001178,0.000008,0.001128,0.000001,0.357833
0.070372,0.002296,0.000001,0.001769,0.266263,0.002037,0.000001,0.003274,0.000007,0.001991,0.000001,0.348011
0.071202,0.002624,0.000001,0.001773,0.201747,0.001993,0.000001,0.001216,0.000012,0.001097,0.000000,0.281666
0.063463,0.002706,0.000001,0.001657,0.183081,0.001499,0.000001,0.001142,0.000011,0.001155,0.000001,0.254715
0.080949,0.038065,0.000001,0.001888,0.178645,0.001782,0.000001,0.001633,0.000015,0.001466,0.000001,0.304444
0.076998,0.046386,0.000000,0.001713,0.192897,0.001539,0.000000,0.001053,0.000008,0.001037,0.000001,0.321634
0.072226,0.002294,0.000001,0.001962,0.199950,0.001806,0.000001,0.001262,0.000015,0.001384,0.000001,0.280901
0.067177,0.002358,0.000001,0.002068,0.196869,0.001782,0.000001,0.001244,0.000011,0.001995,0.000001,0.273506
0.068387,0.034302,0.000000,0.002342,0.230745,0.001927,0.000001,0.001277,0.000008,0.001060,0.000001,0.340050
0.067735,0.002312,0.000001,0.001406,0.218138,0.002306,0.000001,0.001255,0.000010,0.001265,0.000001,0.294429
0.065081,0.002392,0.000001,0.002409,0.223120,0.001636,0.000000,0.001239,0.000009,0.001269,0.000001,0.297157
0.078949,0.002530,0.000001,0.002251,0.199467,0.001902,0.000001,0.001175,0.000018,0.001121,0.000001,0.287417
0.078655,0.002725,0.000001,0.001685,0.185248,0.001648,0.000001,0.001345,0.000008,0.003604,0.000001,0.274918
0.063307,0.002954,0.000001,0.002154,0.288176,0.001751,0.000001,0.001783,0.000012,0.001194,0.000001,0.361334
0.074975,0.002383,0.000001,0.001769,0.232105,0.001766,0.000001,0.001278,0.000009,0.001329,0.000001,0.315615
0.065946,0.002434,0.000001,0.001841,0.268251,0.001678,0.000001,0.001309,0.000009,0.001384,0.000001,0.342854
0.060907,0.002331,0.000001,0.001732,0.189522,0.001911,0.000001,0.001572,0.000012,0.001698,0.000001,0.259688
0.064843,0.002255,0.000001,0.001723,0.217951,0.001984,0.000001,0.004289,0.000009,0.001487,0.000001,0.294543
0.062654,0.002117,0.000001,0.002077,0.196672,0.001896,0.000001,0.001221,0.000010,0.001209,0.000001,0.267857
0.073184,0.002555,0.000001,0.002147,0.293728,0.002412,0.000001,0.001219,0.000009,0.001193,0.000001,0.376448
0.061936,0.002069,0.000001,0.001923,0.196022,0.001400,0.000001,0.001134,0.000007,0.001214,0.000001,0.265709
0.077200,0.002036,0.000001,0.001921,0.189885,0.001301,0.000001,0.001290,0.000013,0.001202,0.000001,0.274850
0.085120,0.002104,0.000001,0.001497,0.261274,0.001550,0.000001,0.001393,0.000006,0.001055,0.000001,0.354002
0.066560,0.002150,0.000001,0.002390,0.262022,0.001771,0.000001,0.001211,0.000009,0.001050,0.000001,0.337164
0.065854,0.002312,0.000001,0.001943,0.183362,0.001828,0.000001,0.001502,0.000009,0.001105,0.000001,0.257919
0.063948,0.002510,0.000001,0.002293,0.197493,0.002112,0.000001,0.001218,0.000012,0.001658,0.000001,0.271247
0.074266,0.002235,0.000001,0.001704,0.259069,0.002875,0.000001,0.001697,0.000010,0.001382,0.000001,0.343240
0.065257,0.002417,0.000001,0.001966,0.197949,0.002114,0.000001,0.001239,0.000010,0.001256,0.000001,0.272210
0.071471,0.002546,0.000001,0.002139,0.248317,0.001921,0.000001,0.001291,0.000009,0.001334,0.000001,0.329029
0.062794,0.010214,0.000001,0.001447,0.188967,0.001877,0.000001,0.001412,0.000013,0.001297,0.000001,0.268024
0.100231,0.002462,0.000001,0.001671,0.186573,0.001639,0.000001,0.001222,0.000009,0.001357,0.000001,0.295165
0.068830,0.002873,0.000001,0.002080,0.197493,0.001849,0.000001,0.001271,0.000009,0.001238,0.000001,0.275645
0.085651,0.002423,0.000001,0.001723,0.273334,0.001813,0.000001,0.001528,0.000012,0.001688,0.000001,0.368174
0.062952,0.004005,0.000000,0.002646,0.292616,0.002851,0.000001,0.002770,0.000005,0.001620,0.000001,0.369469
