Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.054888,0.002912,0.000001,0.002934,0.291416,0.002170,0.000001,0.001703,0.000010,0.001448,0.000001,0.357484
0.064352,0.002702,0.000001,0.003087,0.319428,0.001919,0.000001,0.001598,0.000018,0.001350,0.000001,0.394455
0.060728,0.002739,0.000001,0.002815,0.303515,0.001851,0.000001,0.002165,0.000009,0.001293,0.000001,0.375117
0.064955,0.002692,0.000001,0.003479,0.327202,0.003097,0.000001,0.001822,0.000012,0.001532,0.000001,0.404793
0.062946,0.002857,0.000001,0.002676,0.329640,0.002338,0.000001,0.001263,0.000010,0.001521,0.000001,0.403252
0.069333,0.002876,0.000001,0.002935,0.312549,0.001957,0.000001,0.001273,0.000009,0.001371,0.000001,0.392305
0.066155,0.058686,0.000001,0.001782,0.287613,0.001915,0.000001,0.001420,0.000008,0.001441,0.000001,0.419023
0.081506,0.070951,0.000001,0.002107,0.299151,0.001856,0.000001,0.001587,0.000010,0.001328,0.000001,0.458500
0.079290,0.060186,0.000001,0.002040,0.295276,0.001639,0.000001,0.001678,0.000013,0.001466,0.000001,0.441589
0.038271,0.004347,0.000001,0.004124,0.772050,0.001893,0.000001,0.001372,0.000011,0.001471,0.000001,0.823540
0.071127,0.128534,0.000001,0.002008,0.259806,0.001648,0.000001,0.001057,0.000009,0.001380,0.000001,0.465571
0.102062,0.117105,0.000001,0.001726,0.216806,0.001642,0.000001,0.001260,0.000010,0.002189,0.000001,0.442804
0.058086,0.130680,0.000001,0.002051,0.288680,0.001693,0.000001,0.001306,0.000011,0.001423,0.000001,0.483931
0.076820,0.122789,0.000001,0.002258,0.417234,0.001880,0.000001,0.003399,0.000017,0.001612,0.000001,0.626010
0.091955,0.165660,0.000000,0.001917,0.226700,0.001642,0.000001,0.003644,0.000012,0.001578,0.000001,0.493110
0.061681,0.002649,0.000001,0.003777,0.794094,0.001838,0.000000,0.001667,0.000012,0.001728,0.000001,0.867448
0.067978,0.163606,0.000001,0.002090,0.223081,0.001800,0.000001,0.002047,0.000007,0.001377,0.000001,0.461988
0.068314,0.213264,0.000001,0.008788,0.199417,0.001886,0.000001,0.004738,0.000038,0.004298,0.000001,0.500746
0.063627,0.202027,0.000001,0.001729,0.202784,0.002017,0.000001,0.001817,0.000009,0.002832,0.000001,0.476847
0.075692,0.177380,0.000001,0.002818,0.220917,0.001658,0.000001,0.002178,0.000009,0.001937,0.000001,0.482591
0.064212,0.225429,0.000001,0.002240,0.214484,0.002298,0.000001,0.002595,0.000009,0.001284,0.000001,0.512553
