Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.041139,0.003548,0.000001,0.002820,0.076334,0.002353,0.000001,0.001260,0.000009,0.001484,0.000000,0.128948
0.059487,0.002657,0.000001,0.004209,0.093130,0.002314,0.000001,0.001354,0.000011,0.001263,0.000001,0.164428
0.068792,0.002654,0.000001,0.002397,0.079302,0.002037,0.000001,0.001117,0.000009,0.001249,0.000001,0.157560
0.074712,0.002574,0.000001,0.002695,0.159665,0.002169,0.000001,0.001258,0.000009,0.001262,0.000001,0.244347
0.069737,0.002750,0.000001,0.001863,0.074883,0.002400,0.000001,0.001282,0.000010,0.001403,0.000001,0.154331
0.061910,0.003106,0.000001,0.001816,0.075624,0.002375,0.000002,0.001235,0.000008,0.001480,0.000001,0.147557
0.069325,0.002564,0.000001,0.002657,0.162020,0.002159,0.000001,0.001170,0.000009,0.001223,0.000001,0.241129
0.076422,0.002292,0.000001,0.001876,0.074417,0.002242,0.000001,0.001327,0.000009,0.001369,0.000001,0.159958
0.057535,0.002414,0.000001,0.002381,0.167411,0.002154,0.000001,0.002667,0.000009,0.001210,0.000001,0.235782
0.070402,0.002414,0.000001,0.002385,0.082789,0.002590,0.000001,0.003294,0.000009,0.001603,0.000001,0.165489
0.062799,0.006804,0.000001,0.002364,0.175409,0.002346,0.000001,0.001261,0.000011,0.001363,0.000001,0.252360
0.060928,0.002722,0.000001,0.002446,0.075488,0.002739,0.000001,0.001394,0.000009,0.001199,0.000001,0.146926
0.058805,0.003137,0.000000,0.001663,0.078171,0.002197,0.000001,0.001689,0.000010,0.001566,0.000001,0.147239
0.078653,0.002890,0.000001,0.001663,0.070364,0.002386,0.000001,0.001270,0.000011,0.001439,0.000001,0.158678
0.071214,0.002239,0.000001,0.001874,0.216799,0.002159,0.000000,0.001159,0.000014,0.001251,0.000001,0.296711
0.079994,0.002690,0.000000,0.001885,0.141746,0.001928,0.000001,0.001154,0.000009,0.001268,0.000001,0.230676
0.065910,0.002325,0.000001,0.001672,0.072992,0.002492,0.000001,0.001280,0.000007,0.001335,0.000001,0.148015
0.077444,0.002346,0.000001,0.001868,0.157542,0.002679,0.000001,0.001235,0.000010,0.001269,0.000001,0.244396
0.061492,0.002518,0.000001,0.001707,0.074685,0.002235,0.000001,0.001351,0.000008,0.001460,0.000001,0.145459
0.075726,0.002810,0.000001,0.002179,0.157235,0.002278,0.000001,0.001260,0.000009,0.001371,0.000001,0.242870
0.073805,0.002417,0.000001,0.001870,0.137189,0.002148,0.000001,0.001277,0.000007,0.001347,0.000001,0.220061
0.060715,0.002445,0.000001,0.002330,0.084893,0.002124,0.000001,0.001258,0.000009,0.001838,0.000001,0.155614
0.062221,0.002331,0.000001,0.001491,0.074538,0.002333,0.000001,0.001303,0.000007,0.001373,0.000001,0.145598
0.061357,0.002436,0.000001,0.001923,0.179075,0.002259,0.000001,0.001285,0.000010,0.001663,0.000001,0.250010
0.076168,0.002198,0.000001,0.001865,0.088560,0.002253,0.000001,0.001315,0.000010,0.001403,0.000001,0.173774
0.069789,0.002456,0.000013,0.001808,0.077755,0.002038,0.000001,0.001202,0.000009,0.001312,0.000001,0.156384
0.082514,0.002604,0.000001,0.001881,0.074838,0.002291,0.000001,0.001261,0.000009,0.001368,0.000001,0.166769
0.083302,0.002504,0.000001,0.001973,0.219075,0.002968,0.000001,0.001851,0.000011,0.001697,0.000001,0.313384
0.079241,0.002428,0.000001,0.001495,0.076846,0.002363,0.000001,0.001291,0.000010,0.001382,0.000001,0.165059
0.055866,0.002318,0.000001,0.001674,0.073857,0.002236,0.000001,0.001252,0.000009,0.001412,0.000001,0.138628
0.062998,0.002797,0.000001,0.002310,0.241537,0.002326,0.000001,0.001149,0.000012,0.001276,0.000001,0.314406
0.085085,0.003086,0.000001,0.001788,0.165028,0.002247,0.000001,0.001159,0.000008,0.001290,0.000001,0.259694
0.081621,0.002207,0.000001,0.001616,0.076361,0.001710,0.000001,0.001155,0.000008,0.001410,0.000001,0.166089
0.068998,0.002293,0.000001,0.002021,0.081877,0.002631,0.000002,0.002546,0.000013,0.001300,0.000001,0.161684
0.061520,0.002329,0.000001,0.002133,0.172789,0.002290,0.000001,0.001162,0.000017,0.001196,0.000001,0.243439
0.061146,0.002601,0.000001,0.001471,0.072245,0.002200,0.000001,0.001669,0.000011,0.001205,0.000001,0.142548
0.060525,0.002857,0.000001,0.001650,0.072428,0.002833,0.000001,0.001164,0.000009,0.001462,0.000001,0.142931
0.060439,0.003183,0.000001,0.002031,0.161524,0.002014,0.000001,0.001114,0.000010,0.001187,0.000011,0.231515
0.091972,0.002851,0.000001,0.001596,0.074889,0.002384,0.000001,0.001682,0.000020,0.002156,0.000001,0.177554
0.062173,0.002346,0.000001,0.001814,0.169829,0.001860,0.000001,0.001735,0.000016,0.003841,0.000001,0.243616
0.079412,0.002452,0.000001,0.001845,0.080751,0.003226,0.000001,0.003746,0.000012,0.001228,0.000001,0.172673
0.073915,0.002176,0.000001,0.002070,0.074969,0.002555,0.000001,0.001313,0.000010,0.001305,0.000000,0.158314
0.061415,0.002281,0.000001,0.001662,0.074446,0.002321,0.000001,0.001288,0.000009,0.001151,0.000001,0.144576
0.072786,0.002949,0.000001,0.001681,0.176764,0.002351,0.000001,0.001251,0.000012,0.001306,0.000001,0.259102
0.087496,0.003683,0.000001,0.001842,0.076162,0.002120,0.000000,0.001266,0.000007,0.001228,0.000001,0.173806
0.079785,0.002257,0.000001,0.001489,0.076230,0.002207,0.000001,0.001278,0.000009,0.001162,0.000001,0.164419
0.065278,0.002009,0.000001,0.001690,0.073148,0.002173,0.000001,0.001272,0.000007,0.001584,0.000001,0.147163
0.070484,0.002364,0.000001,0.002349,0.162694,0.002402,0.000001,0.001229,0.000010,0.001265,0.000001,0.242799
0.071518,0.002228,0.000001,0.001863,0.072513,0.002071,0.000001,0.001217,0.000008,0.001197,0.000001,0.152617
0.081583,0.002101,0.000001,0.001315,0.067403,0.001795,0.000001,0.001189,0.000012,0.001243,0.000001,0.156642
0.071722,0.002085,0.000001,0.001782,0.197141,0.002480,0.000001,0.001341,0.029054,0.001489,0.000001,0.307096
0.061241,0.002247,0.000001,0.001774,0.073911,0.002101,0.000001,0.001312,0.000009,0.001234,0.000001,0.143832
0.083091,0.002495,0.000001,0.001750,0.066581,0.002640,0.000001,0.001164,0.000009,0.001174,0.000001,0.158905
0.066783,0.002318,0.000001,0.001848,0.156009,0.002319,0.000001,0.001697,0.000009,0.001399,0.000001,0.232383
0.068613,0.002312,0.000001,0.001566,0.070999,0.002671,0.000001,0.001215,0.000007,0.001248,0.000001,0.148633
0.076018,0.002235,0.000001,0.001333,0.159010,0.002117,0.000001,0.001292,0.000009,0.001768,0.000001,0.243785
0.060397,0.002423,0.000001,0.002527,0.074435,0.002098,0.000001,0.001268,0.000010,0.001300,0.000000,0.144460
0.063422,0.003237,0.000001,0.001737,0.158412,0.002247,0.000001,0.001505,0.000007,0.001191,0.000001,0.231761
0.062584,0.002344,0.000001,0.001972,0.074708,0.001915,0.000001,0.003070,0.000016,0.001589,0.000001,0.148201
0.063885,0.002323,0.000001,0.001808,0.079059,0.002306,0.000001,0.001187,0.000013,0.001111,0.000001,0.151693
