Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Dispatcher-lookup,Dispatcher-lookup,Dispatcher-lookup<->Lookup,Lookup,Lookup<->Collect-lookup,Collect-lookup,Collect-lookup<->Stat,Stat,Total
0.049642,0.006925,0.000001,0.003321,0.096263,0.002910,0.000001,0.008145,0.000001,0.008590,0.000051,0.006478,0.000001,0.006386,0.000002,0.188717
0.066858,0.005758,0.000001,0.003631,0.101983,0.003169,0.000001,0.005356,0.000001,0.003404,0.000029,0.002794,0.000001,0.004713,0.000002,0.197702
0.072190,0.005348,0.000001,0.002048,0.074325,0.002651,0.000001,0.005098,0.000001,0.010353,0.000063,0.006590,0.000001,0.004384,0.000002,0.183055
0.073193,0.005057,0.000001,0.002115,0.077539,0.003065,0.000001,0.005984,0.000001,0.008993,0.000042,0.007570,0.000001,0.005292,0.000003,0.188855
0.079621,0.005113,0.000001,0.001944,0.162468,0.002828,0.000001,0.004522,0.000001,0.003210,0.000021,0.002999,0.000001,0.004384,0.000002,0.267115
0.067952,0.004671,0.000001,0.003985,0.231718,0.003154,0.000001,0.005224,0.000001,0.009069,0.000061,0.006577,0.000001,0.005380,0.000002,0.337795
0.059811,0.004731,0.000001,0.001849,0.074588,0.002938,0.000001,0.004839,0.000001,0.010607,0.000057,0.006273,0.000001,0.005321,0.000003,0.171020
0.065250,0.004916,0.000001,0.001498,0.074762,0.002374,0.000001,0.005267,0.000001,0.002341,0.000020,0.002594,0.000001,0.003749,0.000002,0.162775
0.061903,0.004482,0.000001,0.002855,0.210225,0.002851,0.000001,0.004711,0.000001,0.002476,0.000019,0.002247,0.000001,0.004579,0.000002,0.296353
0.062349,0.004971,0.000001,0.002599,0.171671,0.003157,0.000001,0.004497,0.000001,0.008536,0.000048,0.006126,0.000001,0.004265,0.000015,0.268237
0.097767,0.005570,0.000001,0.002003,0.080646,0.002772,0.000001,0.004325,0.000001,0.009356,0.000050,0.006222,0.000001,0.003962,0.000002,0.212679
