Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Dispatcher-lookup,Dispatcher-lookup,Dispatcher-lookup<->Lookup,Lookup,Lookup<->Collect-lookup,Collect-lookup,Collect-lookup<->Stat,Stat,Total
0.040495,0.007038,0.000001,0.004811,0.103019,0.003803,0.000001,0.007267,0.000001,0.002889,0.000014,0.002973,0.000001,0.006043,0.000002,0.178357
0.055975,0.004475,0.000001,0.004418,0.099381,0.003180,0.000001,0.005940,0.000001,0.001888,0.000008,0.002209,0.000001,0.004798,0.000002,0.182277
0.061755,0.004453,0.000001,0.002901,0.078962,0.003237,0.000001,0.005486,0.000001,0.001934,0.000010,0.002251,0.000001,0.005108,0.000002,0.166101
0.062858,0.005030,0.000001,0.002307,0.084140,0.002784,0.000001,0.004732,0.000001,0.001848,0.000009,0.002082,0.000001,0.005698,0.000002,0.171493
0.064351,0.005237,0.000001,0.003480,0.171396,0.002817,0.000001,0.004644,0.000001,0.010966,0.000116,0.007669,0.000014,0.004343,0.000002,0.275037
0.060792,0.004329,0.000001,0.002481,0.171846,0.002780,0.000001,0.004243,0.000001,0.002410,0.000010,0.003109,0.000001,0.003828,0.000002,0.255831
0.071343,0.004548,0.000001,0.001984,0.075936,0.002862,0.000001,0.004592,0.000001,0.001825,0.000009,0.002070,0.000001,0.004970,0.000002,0.170143
0.063828,0.004108,0.000001,0.002113,0.074400,0.003118,0.000001,0.004656,0.000001,0.003575,0.000032,0.002745,0.000001,0.003844,0.000002,0.162425
0.087116,0.004569,0.000001,0.001908,0.074224,0.002916,0.000001,0.006634,0.000001,0.003553,0.000026,0.002955,0.000001,0.003808,0.000002,0.187715
0.062145,0.005029,0.000001,0.002052,0.166804,0.002618,0.000001,0.005270,0.000001,0.003682,0.000029,0.002372,0.000001,0.003702,0.000002,0.253707
0.079665,0.004547,0.000001,0.002508,0.164339,0.002947,0.000001,0.005483,0.000001,0.003616,0.000027,0.002431,0.000001,0.004750,0.000002,0.270318
0.079694,0.005023,0.000001,0.002849,0.083695,0.003397,0.000001,0.004798,0.000001,0.003510,0.000032,0.003291,0.000001,0.004083,0.000002,0.190378
0.074465,0.004003,0.000001,0.001834,0.066676,0.002885,0.000001,0.005389,0.000001,0.003440,0.000029,0.002143,0.000001,0.004868,0.000002,0.165735
0.083864,0.005232,0.000001,0.001909,0.154032,0.003114,0.000001,0.006345,0.000001,0.009665,0.000110,0.006033,0.000001,0.003254,0.000002,0.273562
0.085981,0.004461,0.000001,0.001873,0.172694,0.002941,0.000001,0.004913,0.000001,0.003223,0.000024,0.003039,0.000001,0.003896,0.000003,0.283051
0.061743,0.004199,0.000001,0.002213,0.076268,0.002911,0.000001,0.004891,0.000001,0.004439,0.000031,0.002448,0.000001,0.003342,0.000002,0.162492
0.065149,0.003821,0.000001,0.002604,0.177740,0.003271,0.000001,0.005326,0.000001,0.003269,0.000023,0.002590,0.000001,0.003689,0.000002,0.267486
