Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.035801,0.006145,0.000002,0.004649,0.202827,0.002885,0.000001,0.002316,0.000019,0.001547,0.000001,0.256193
0.056613,0.004214,0.000001,0.003815,0.226092,0.002104,0.000001,0.001056,0.000009,0.001102,0.000001,0.295008
0.060748,0.003166,0.000001,0.003721,0.204991,0.001803,0.000000,0.001061,0.000010,0.001132,0.000001,0.276633
0.061689,0.002288,0.000000,0.003871,0.196904,0.002003,0.000000,0.000987,0.000007,0.001135,0.000001,0.268885
0.064032,0.003159,0.000001,0.003118,0.280402,0.001668,0.000000,0.001046,0.000006,0.001112,0.000000,0.354545
0.062906,0.002545,0.000001,0.003107,0.299443,0.001897,0.000000,0.002420,0.000009,0.002283,0.000001,0.374613
0.071782,0.002079,0.000001,0.002334,0.190913,0.002261,0.000000,0.002181,0.000008,0.002129,0.000000,0.273690
0.066349,0.002384,0.000001,0.002739,0.243730,0.001818,0.000000,0.001054,0.000007,0.001107,0.000001,0.319190
0.061080,0.001935,0.000001,0.002106,0.191892,0.001815,0.000000,0.001355,0.000006,0.001122,0.000001,0.261313
0.080199,0.003269,0.000001,0.003183,0.314452,0.002045,0.000000,0.001100,0.000010,0.001187,0.000001,0.405447
0.063584,0.002801,0.000001,0.001943,0.268992,0.001769,0.000000,0.000966,0.000008,0.001145,0.000001,0.341208
0.075327,0.003224,0.000001,0.002394,0.196669,0.001517,0.000001,0.000955,0.000007,0.001097,0.000001,0.281194
0.072956,0.027264,0.000001,0.002335,0.210756,0.002074,0.000001,0.001881,0.000010,0.001237,0.000001,0.318515
0.067516,0.002009,0.000001,0.002135,0.182764,0.001689,0.000000,0.000948,0.000010,0.001064,0.000001,0.258136
0.078619,0.001975,0.000000,0.002363,0.237545,0.001814,0.000000,0.000972,0.000008,0.001136,0.000001,0.324433
0.064938,0.001943,0.000001,0.002532,0.197142,0.001855,0.000000,0.000939,0.000009,0.001131,0.000001,0.270490
0.063078,0.002311,0.000001,0.002095,0.378283,0.001805,0.000001,0.001842,0.000011,0.001142,0.000001,0.450568
0.068283,0.002042,0.000001,0.002631,0.258930,0.001824,0.000000,0.001150,0.000010,0.001193,0.000001,0.336065
0.062142,0.002050,0.000001,0.002574,0.291324,0.002737,0.000001,0.004125,0.000021,0.001678,0.000001,0.366654
0.075057,0.008365,0.000001,0.002651,0.203908,0.003189,0.000001,0.003193,0.000010,0.001604,0.000000,0.297979
0.063867,0.002138,0.000001,0.002243,0.197539,0.001953,0.000000,0.001386,0.000010,0.001301,0.000001,0.270439
0.069523,0.002146,0.000001,0.001539,0.233425,0.001794,0.000000,0.001013,0.000007,0.001357,0.000001,0.310806
0.061940,0.002096,0.000001,0.002488,0.204226,0.001817,0.000000,0.001039,0.000008,0.001505,0.000001,0.275120
0.060083,0.002095,0.000001,0.002853,0.200135,0.001922,0.000000,0.001083,0.000010,0.001089,0.000001,0.269271
0.070034,0.002016,0.000001,0.002311,0.407961,0.001878,0.000000,0.001019,0.000010,0.001176,0.000001,0.486407
0.062288,0.033868,0.000001,0.002430,0.194497,0.001923,0.000001,0.001092,0.000012,0.001164,0.000001,0.297275
0.063164,0.005896,0.000000,0.002549,0.262147,0.001851,0.000000,0.000995,0.000010,0.001123,0.000001,0.337738
0.069752,0.002302,0.000001,0.002514,0.199273,0.001847,0.000000,0.001431,0.000009,0.001229,0.000001,0.278360
0.092036,0.002121,0.000001,0.002366,0.226608,0.001925,0.000001,0.001185,0.000007,0.001252,0.000001,0.327502
0.103022,0.002505,0.000001,0.002429,0.262538,0.001907,0.000000,0.001063,0.000011,0.001154,0.000001,0.374632
0.072114,0.002261,0.000001,0.002198,0.219385,0.001798,0.000000,0.001053,0.000009,0.001145,0.000000,0.299965
0.065803,0.002372,0.000001,0.002549,0.216226,0.001864,0.000001,0.001065,0.000009,0.001229,0.000001,0.291120
0.074751,0.002149,0.000001,0.002355,0.225802,0.001757,0.000000,0.000970,0.000007,0.001135,0.000001,0.308928
0.070012,0.002057,0.000001,0.002694,0.201208,0.002152,0.000001,0.001264,0.000009,0.001131,0.000001,0.280528
0.062137,0.017880,0.000001,0.002587,0.201922,0.001754,0.000001,0.001005,0.000008,0.001132,0.000001,0.288428
0.064320,0.002119,0.000001,0.002326,0.282969,0.001977,0.000001,0.001121,0.000008,0.001134,0.000001,0.355976
0.060068,0.002136,0.000000,0.002330,0.267243,0.002145,0.000000,0.001364,0.000017,0.001173,0.000001,0.336478
0.060175,0.002036,0.000001,0.002416,0.240859,0.001787,0.000001,0.000934,0.000012,0.001121,0.000001,0.309343
0.062444,0.002073,0.000001,0.002260,0.205988,0.001787,0.000001,0.001174,0.000011,0.001474,0.000001,0.277212
0.061986,0.002361,0.000001,0.002781,0.267083,0.001876,0.000001,0.001151,0.000024,0.001175,0.000001,0.338440
0.089077,0.002169,0.000001,0.002263,0.195569,0.001896,0.000001,0.001013,0.000008,0.001068,0.000001,0.293066
0.070925,0.002548,0.000001,0.002663,0.204426,0.001839,0.000000,0.000974,0.000009,0.001086,0.000001,0.284472
0.076294,0.002041,0.000001,0.002570,0.244373,0.001903,0.000001,0.001092,0.000008,0.001059,0.000001,0.329342
