Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.051736,0.004164,0.000001,0.003719,0.194056,0.001842,0.000000,0.001166,0.000006,0.001294,0.000001,0.257986
0.061217,0.002431,0.000000,0.002885,0.180331,0.001719,0.000000,0.001291,0.000008,0.001125,0.000001,0.251009
0.075548,0.002331,0.000001,0.003511,0.190687,0.002158,0.000000,0.001168,0.000010,0.001259,0.000001,0.276675
0.062955,0.002332,0.000000,0.002900,0.200783,0.001809,0.000000,0.002066,0.000012,0.001684,0.000001,0.274541
0.077580,0.002932,0.000001,0.002849,0.247101,0.001770,0.000000,0.001187,0.000011,0.001148,0.000001,0.334579
0.068260,0.002471,0.000000,0.002278,0.191496,0.002263,0.000001,0.003349,0.000020,0.005455,0.000001,0.275596
0.058869,0.002412,0.000001,0.003001,0.263436,0.002894,0.000001,0.005234,0.000016,0.003391,0.000000,0.339256
0.074170,0.002960,0.000001,0.003210,0.299881,0.001901,0.000000,0.001107,0.000006,0.001217,0.000001,0.384453
0.073812,0.002102,0.000001,0.001995,0.193188,0.002473,0.000001,0.001998,0.000009,0.001898,0.000001,0.277478
0.078711,0.002447,0.000001,0.002746,0.296896,0.001886,0.000000,0.000961,0.000008,0.001078,0.000000,0.384735
0.072680,0.003383,0.000001,0.002238,0.261927,0.001829,0.000000,0.001059,0.000007,0.001106,0.000001,0.344230
0.060424,0.003813,0.000000,0.002195,0.187826,0.001471,0.000000,0.001012,0.000007,0.001087,0.000001,0.257837
0.067156,0.002008,0.000000,0.001997,0.306596,0.001725,0.000000,0.001361,0.000010,0.001625,0.000001,0.382479
0.067463,0.003414,0.000001,0.001976,0.206603,0.002141,0.000000,0.001891,0.000011,0.002154,0.000001,0.285655
0.072502,0.029666,0.000001,0.002887,0.201228,0.008738,0.000001,0.002545,0.000007,0.001693,0.000001,0.319269
0.076043,0.003135,0.000001,0.002416,0.197517,0.002107,0.000000,0.001024,0.000013,0.001134,0.000001,0.283392
0.067626,0.002679,0.000001,0.002735,0.254202,0.001826,0.000000,0.000996,0.000008,0.001115,0.000001,0.331189
0.063809,0.002018,0.000001,0.002331,0.224218,0.001933,0.000000,0.000999,0.000009,0.001204,0.000001,0.296523
0.070775,0.002350,0.000001,0.002462,0.235395,0.001792,0.000000,0.001263,0.000009,0.001163,0.000001,0.315211
0.067991,0.002158,0.000001,0.002620,0.223509,0.001799,0.000000,0.001508,0.000014,0.001247,0.000001,0.300848
0.060802,0.002068,0.000001,0.002980,0.206632,0.001915,0.000000,0.001143,0.000006,0.002644,0.000001,0.278191
0.073708,0.009117,0.000000,0.001999,0.268689,0.001889,0.000000,0.001067,0.000008,0.001159,0.000000,0.357637
0.076316,0.003011,0.000001,0.002407,0.314171,0.001996,0.000001,0.001279,0.000008,0.001117,0.000001,0.400307
0.075468,0.002515,0.000001,0.002840,0.195938,0.001868,0.000000,0.001016,0.000007,0.001121,0.000001,0.280775
0.062531,0.002196,0.000001,0.002289,0.207521,0.002331,0.000000,0.001000,0.000008,0.001159,0.000000,0.279036
0.060426,0.002064,0.000000,0.002352,0.281025,0.001801,0.000000,0.000979,0.000007,0.001108,0.000001,0.349763
0.063302,0.002154,0.000001,0.002584,0.259700,0.002243,0.000001,0.001369,0.000008,0.001160,0.000001,0.332522
0.074230,0.002198,0.000001,0.002823,0.205749,0.001901,0.000000,0.000999,0.000009,0.001147,0.000001,0.289057
0.068649,0.002082,0.000001,0.002635,0.204529,0.001989,0.000000,0.001074,0.000006,0.001117,0.000001,0.282082
0.086242,0.013302,0.000001,0.002315,0.246511,0.001791,0.000001,0.001427,0.000011,0.001214,0.000001,0.352815
0.065223,0.002181,0.000001,0.002631,0.260615,0.001831,0.000000,0.001167,0.000012,0.001214,0.000001,0.334875
0.089448,0.003080,0.000001,0.002542,0.255730,0.001707,0.000000,0.001128,0.000010,0.001395,0.000001,0.355043
0.082817,0.002011,0.000001,0.002161,0.244303,0.002062,0.000000,0.001139,0.000010,0.001163,0.000001,0.335669
0.065358,0.001995,0.000001,0.002689,0.239031,0.001856,0.000000,0.000990,0.000008,0.001079,0.000001,0.313008
0.085766,0.002067,0.000001,0.002565,0.202525,0.001889,0.000000,0.001133,0.000014,0.001328,0.000001,0.297290
0.063288,0.002071,0.000001,0.002266,0.274328,0.002284,0.000000,0.001042,0.000008,0.001320,0.000001,0.346610
0.081974,0.002085,0.000000,0.001999,0.190199,0.001842,0.000001,0.001254,0.000010,0.001090,0.000001,0.280455
0.061345,0.005028,0.000000,0.002493,0.217475,0.001774,0.000000,0.001037,0.000008,0.001435,0.000001,0.290598
0.069793,0.002081,0.000001,0.002483,0.254837,0.001795,0.000000,0.000942,0.000014,0.001233,0.000001,0.333180
0.062191,0.027430,0.000000,0.002269,0.186063,0.001879,0.000000,0.001009,0.000007,0.001864,0.000001,0.282713
0.061057,0.002373,0.000001,0.002728,0.203669,0.001791,0.000000,0.001026,0.000006,0.001061,0.000001,0.273712
0.062440,0.006147,0.000001,0.002558,0.281964,0.001819,0.000000,0.001009,0.000006,0.001127,0.000001,0.357071
0.061144,0.002160,0.000001,0.002791,0.284772,0.001791,0.000001,0.001013,0.000011,0.001083,0.000001,0.354768
0.088049,0.003514,0.000001,0.002761,0.202519,0.001839,0.000000,0.002207,0.000010,0.001145,0.000001,0.302047
0.089143,0.002142,0.000001,0.002986,0.188725,0.001722,0.000000,0.000972,0.000008,0.001090,0.000001,0.286790
0.092525,0.002142,0.000001,0.002245,0.193470,0.001846,0.000000,0.001270,0.000006,0.001034,0.000001,0.294541
0.073959,0.001979,0.000001,0.002292,0.256441,0.001812,0.000000,0.001059,0.000008,0.001039,0.000000,0.338591
0.100456,0.002810,0.000001,0.002486,0.200979,0.001916,0.000001,0.001049,0.000009,0.001075,0.000001,0.310781
0.081694,0.002082,0.000001,0.002157,0.188805,0.001973,0.000000,0.001421,0.000011,0.001609,0.000001,0.279753
0.059243,0.001736,0.000001,0.002062,0.166935,0.002031,0.000001,0.001531,0.000007,0.001343,0.000001,0.234890
0.059280,0.002007,0.000000,0.002576,0.363471,0.001776,0.000001,0.002112,0.015016,0.001677,0.000001,0.447917
0.089312,0.002260,0.000001,0.002188,0.276698,0.002114,0.000001,0.008510,0.000009,0.002396,0.000001,0.383489
0.074839,0.001840,0.000001,0.002536,0.260764,0.001808,0.000001,0.002221,0.000012,0.002212,0.000001,0.346234
