Sample,Sample<->Recognize,Recognize,Recognize<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.057985,0.000012,0.194940,0.000013,0.000001,0.000002,0.000001,0.252955
0.070041,0.000012,0.197649,0.000012,0.000001,0.000002,0.000001,0.267718
0.064051,0.000011,0.232384,0.000017,0.000002,0.000003,0.000002,0.296469
0.041723,0.000010,0.352949,0.000018,0.000002,0.000003,0.000002,0.394706
0.063380,0.000010,0.203181,0.000013,0.000001,0.000003,0.000001,0.266589
0.063886,0.000011,0.201544,0.000015,0.000001,0.000002,0.000001,0.265459
0.068232,0.000015,0.323096,0.000017,0.000002,0.000003,0.000002,0.391367
0.091290,0.000016,0.306956,0.000013,0.000001,0.000002,0.000001,0.398280
0.062851,0.000010,0.202003,0.000014,0.000001,0.000002,0.000001,0.264882
0.093374,0.000015,0.289425,0.000014,0.000001,0.000003,0.000001,0.382832
0.087942,0.000015,0.277715,0.000019,0.000002,0.000003,0.000001,0.365697
0.062524,0.000010,0.196865,0.000014,0.000001,0.000002,0.000001,0.259417
0.069077,0.000011,0.315101,0.000016,0.000001,0.000002,0.000001,0.384210
0.063874,0.000010,0.184049,0.000014,0.000001,0.000002,0.000001,0.247952
0.066455,0.000011,0.186905,0.000014,0.000001,0.000002,0.000001,0.253389
0.091595,0.000014,0.245438,0.000017,0.000002,0.000003,0.000002,0.337070
0.090994,0.000015,0.326266,0.000017,0.000002,0.000003,0.000001,0.417298
0.067868,0.000016,0.247181,0.000015,0.000001,0.000003,0.000001,0.315085
0.065425,0.000003,0.270292,0.000017,0.000001,0.000003,0.000001,0.335742
0.089740,0.000015,0.315548,0.000019,0.000002,0.000011,0.000002,0.405335
0.071661,0.000015,0.270003,0.000018,0.000002,0.000003,0.000002,0.341704
0.092140,0.000014,0.283425,0.000013,0.000001,0.000002,0.000001,0.375597
0.072708,0.000011,0.273533,0.000015,0.000001,0.000002,0.000001,0.346271
0.066951,0.000010,0.257535,0.000019,0.000002,0.000003,0.000002,0.324522
0.065425,0.000011,0.211448,0.000016,0.000001,0.000002,0.000001,0.276904
0.093085,0.000015,0.218602,0.000015,0.000001,0.000002,0.000001,0.311721
0.091359,0.000014,0.316312,0.000019,0.000002,0.000003,0.000002,0.407711
0.086005,0.000011,0.223000,0.000017,0.000001,0.000002,0.000001,0.309036
0.073448,0.000014,0.297264,0.000018,0.000002,0.000004,0.000002,0.370752
0.060998,0.000011,0.195916,0.000016,0.000001,0.000002,0.000001,0.256944
0.067264,0.000010,0.303683,0.000018,0.000002,0.000003,0.000002,0.370981
0.085211,0.000010,0.193751,0.000014,0.000001,0.000002,0.000001,0.278990
0.096977,0.000014,0.311009,0.000017,0.000002,0.000003,0.000002,0.408023
0.085569,0.000015,0.286202,0.000016,0.000002,0.000003,0.000002,0.371808
0.066957,0.000012,0.192283,0.000014,0.000001,0.000002,0.000001,0.259270
0.062034,0.000007,0.189041,0.000014,0.000001,0.000002,0.000001,0.251102
0.079981,0.000014,0.298349,0.000020,0.000002,0.000003,0.000002,0.378370
0.070935,0.000012,0.196469,0.000015,0.000001,0.000002,0.000001,0.267435
0.088155,0.000011,0.195463,0.000015,0.000001,0.000002,0.000001,0.283650
0.090921,0.000013,0.301560,0.000017,0.000002,0.000003,0.000002,0.392517
0.075762,0.000004,0.287509,0.000030,0.000002,0.000004,0.000002,0.363312
0.088063,0.000013,0.235680,0.000013,0.000001,0.000002,0.000001,0.323773
0.065079,0.000010,0.204739,0.000018,0.000002,0.000003,0.000002,0.269853
0.072042,0.000011,0.305859,0.000014,0.000001,0.000002,0.000001,0.377931
0.066322,0.000010,0.193402,0.000015,0.000001,0.000002,0.000001,0.259753
0.089986,0.000015,0.253693,0.000013,0.000001,0.000001,0.000001,0.343712
0.065851,0.000010,0.191226,0.000015,0.000001,0.000002,0.000001,0.257106
0.063360,0.000003,0.260223,0.000016,0.000957,0.000011,0.000001,0.324570
0.091275,0.000013,0.296414,0.000018,0.000002,0.000003,0.000002,0.387726
0.070618,0.000016,0.276628,0.000013,0.000001,0.000002,0.000001,0.347280
0.084570,0.000010,0.242191,0.000015,0.000001,0.000002,0.000001,0.326790
0.091485,0.000016,0.286805,0.000020,0.000002,0.000009,0.000002,0.378338
0.091948,0.000013,0.225798,0.000018,0.000002,0.000003,0.000001,0.317783
0.072131,0.000014,0.307180,0.000019,0.000002,0.000003,0.000001,0.379349
0.065143,0.000010,0.261660,0.000014,0.000001,0.000002,0.000001,0.326831
0.065660,0.000022,0.272738,0.000017,0.000002,0.000003,0.000002,0.338443
0.067061,0.000016,0.184683,0.000015,0.000001,0.000002,0.000001,0.251779
0.091470,0.000014,0.309976,0.000018,0.000002,0.000010,0.000002,0.401492
0.080774,0.000015,0.298078,0.000019,0.000002,0.000003,0.000002,0.378893
0.085955,0.000010,0.256682,0.000013,0.000001,0.000002,0.000001,0.342664
0.067573,0.000011,0.188427,0.000014,0.000001,0.000002,0.000001,0.256029
0.082753,0.000012,0.255685,0.000018,0.000001,0.000003,0.000002,0.338474
0.079424,0.000013,0.268988,0.000014,0.000001,0.000002,0.000001,0.348443
0.092570,0.000015,0.226617,0.000015,0.000001,0.000002,0.000001,0.319221
0.062118,0.000010,0.216192,0.000016,0.000001,0.000002,0.000001,0.278341
0.068216,0.000011,0.194032,0.000015,0.000001,0.000002,0.000001,0.262278
0.091385,0.000014,0.280826,0.000018,0.000002,0.000003,0.000002,0.372249
0.066804,0.000011,0.187735,0.000014,0.000001,0.000002,0.000001,0.254568
0.066169,0.000011,0.222924,0.000013,0.000001,0.000002,0.000001,0.289121
0.089198,0.000014,0.317430,0.000012,0.000001,0.000002,0.000001,0.406659
0.066936,0.000011,0.228908,0.000004,0.000001,0.000002,0.000001,0.295863
0.063998,0.000009,0.179769,0.000013,0.000001,0.000002,0.000001,0.243793
0.089597,0.000014,0.237798,0.000018,0.000002,0.000003,0.000002,0.327433
0.066556,0.000011,0.195979,0.000017,0.000001,0.000002,0.000001,0.262567
0.068452,0.000010,0.188456,0.000015,0.000001,0.000002,0.000001,0.256937
0.071482,0.000013,0.186013,0.000016,0.000001,0.000003,0.000001,0.257529
0.067514,0.000206,0.267659,0.000019,0.000050,0.000011,0.000002,0.335460
0.064149,0.000010,0.186946,0.000013,0.000001,0.000002,0.000001,0.251123
0.062396,0.000010,0.190997,0.000014,0.000001,0.000002,0.000001,0.253420
0.091322,0.000014,0.271459,0.000018,0.000002,0.000003,0.000002,0.362818
0.090740,0.000014,0.311309,0.000017,0.000002,0.000003,0.000002,0.402086
0.092726,0.000014,0.241290,0.000014,0.000001,0.000002,0.000001,0.334048
0.067848,0.000010,0.184392,0.000014,0.000001,0.000002,0.000001,0.252269
0.067135,0.000011,0.222816,0.000014,0.000001,0.000002,0.000001,0.289980
0.067107,0.000010,0.189676,0.000015,0.000001,0.000002,0.000001,0.256812
0.065006,0.000012,0.166546,0.000014,0.000001,0.000002,0.000001,0.231582
0.065962,0.000012,0.265329,0.000018,0.000002,0.000003,0.000002,0.331328
0.084968,0.000010,0.169685,0.000015,0.000001,0.000002,0.000001,0.254682
0.091394,0.000014,0.287024,0.000018,0.000002,0.000003,0.000002,0.378456
0.092466,0.000014,0.242161,0.000017,0.000002,0.000002,0.000001,0.334664
0.065298,0.000010,0.183008,0.000014,0.000001,0.000002,0.000001,0.248335
0.076871,0.000014,0.262231,0.000018,0.000002,0.000002,0.000001,0.339140
0.062177,0.000010,0.274997,0.000017,0.000002,0.000003,0.000001,0.337207
0.063181,0.000009,0.182612,0.000014,0.000001,0.000002,0.000001,0.245819
0.093445,0.000012,0.250506,0.000016,0.000002,0.000002,0.000001,0.343985
0.066944,0.000012,0.247351,0.000017,0.000002,0.000004,0.000002,0.314331
0.064274,0.000009,0.185741,0.000014,0.000001,0.000002,0.000001,0.250042
0.081158,0.000012,0.240065,0.000014,0.000001,0.000002,0.000001,0.321253
0.063454,0.000011,0.187933,0.000014,0.000001,0.000003,0.000001,0.251416
0.090139,0.000013,0.219486,0.000014,0.000001,0.000002,0.000001,0.309657
0.086650,0.000012,0.260611,0.000015,0.000001,0.000002,0.000001,0.347292
0.085478,0.000011,0.189155,0.000015,0.000001,0.000002,0.000001,0.274663
0.090845,0.000014,0.250441,0.000014,0.000001,0.000002,0.000001,0.341318
0.066904,0.000011,0.190594,0.000015,0.000001,0.000002,0.000001,0.257528
0.067452,0.000009,0.176753,0.000004,0.000001,0.000002,0.000001,0.244223
0.066970,0.000003,0.175305,0.000014,0.000001,0.000002,0.000001,0.242296
0.079480,0.000015,0.363725,0.000023,0.000002,0.000003,0.000001,0.443249
0.063269,0.000010,0.254004,0.000019,0.000002,0.000003,0.000002,0.317308
0.065805,0.000012,0.326410,0.000016,0.000169,0.000009,0.000001,0.392421
0.065838,0.000011,0.205746,0.000016,0.000182,0.000013,0.000002,0.271807
0.091827,0.000014,0.332104,0.000019,0.000132,0.000011,0.000001,0.424108
0.066230,0.000010,0.201576,0.000016,0.000001,0.000002,0.000001,0.267835
0.067551,0.000009,0.225254,0.000017,0.000001,0.000003,0.000001,0.292837
0.067083,0.000012,0.207074,0.000014,0.000001,0.000002,0.000001,0.274187
0.091183,0.000015,0.238617,0.000019,0.000002,0.000003,0.000002,0.329840
0.086998,0.000015,0.189549,0.000017,0.000001,0.000002,0.000001,0.276583
0.070252,0.000005,0.332626,0.000020,0.000177,0.000010,0.000001,0.403091
0.065307,0.000011,0.271813,0.000016,0.000001,0.000002,0.000001,0.337152
0.084909,0.000014,0.235184,0.000015,0.000001,0.000002,0.000001,0.320126
0.078877,0.000011,0.301678,0.000020,0.000002,0.000003,0.000002,0.380591
0.064415,0.000010,0.158942,0.000012,0.000001,0.000002,0.000001,0.223383
0.066713,0.000736,0.348409,0.000021,0.000221,0.000016,0.000002,0.416119
0.081255,0.000011,0.283215,0.000017,0.000001,0.000002,0.000001,0.364503
0.079163,0.000014,0.327810,0.000018,0.000173,0.000015,0.000002,0.407195
0.091877,0.000015,0.257257,0.000016,0.000160,0.000014,0.000002,0.349339
0.073262,0.000014,0.259227,0.000016,0.000001,0.000002,0.000001,0.332523
0.068888,0.000016,0.241749,0.000014,0.000001,0.000002,0.000001,0.310671
0.063845,0.000010,0.212034,0.000018,0.000002,0.000004,0.000002,0.275915
0.092778,0.000015,0.224296,0.000018,0.000002,0.000003,0.000002,0.317113
0.061653,0.000009,0.234044,0.000025,0.000001,0.000002,0.000001,0.295734
0.091313,0.000016,0.360162,0.000021,0.000002,0.000003,0.000002,0.451518
0.064880,0.000011,0.209883,0.000016,0.000001,0.000003,0.000001,0.274795
0.090515,0.000013,0.252127,0.000018,0.000002,0.000004,0.000002,0.342681
0.071216,0.000015,0.359696,0.000019,0.000172,0.000015,0.000002,0.431136
0.091307,0.000016,0.371081,0.000016,0.000326,0.000015,0.000002,0.462761
0.064927,0.000011,0.298534,0.000019,0.000146,0.000010,0.000002,0.363650
0.065008,0.000011,0.271318,0.000004,0.000134,0.000005,0.000002,0.336481
0.089693,0.000012,0.295938,0.000018,0.000001,0.000002,0.000001,0.385664
