Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.057301,0.000010,0.223873,0.000012,0.000002,0.000003,0.000001,0.281202
0.069594,0.000010,0.229854,0.000018,0.000002,0.000004,0.000002,0.299483
0.062730,0.000010,0.256406,0.000019,0.000002,0.000004,0.000002,0.319173
0.089315,0.000019,0.318338,0.000021,0.000002,0.000004,0.000001,0.407700
0.063032,0.000009,0.273477,0.000012,0.000001,0.000023,0.000001,0.336555
0.085329,0.000014,0.199618,0.000015,0.000001,0.000002,0.000001,0.284980
0.090178,0.000013,0.247539,0.000013,0.000001,0.000002,0.000001,0.337748
0.074424,0.000010,0.206446,0.000012,0.000001,0.000002,0.000001,0.280896
0.093937,0.000014,0.363322,0.000018,0.000002,0.000003,0.000002,0.457298
0.081651,0.000015,0.276514,0.000021,0.000002,0.000004,0.000002,0.358209
0.062758,0.000011,0.285341,0.000018,0.000002,0.000004,0.000002,0.348137
0.087357,0.000021,0.184047,0.000013,0.000001,0.000002,0.000001,0.271442
0.091000,0.000014,0.280250,0.000018,0.000002,0.000004,0.000001,0.371290
0.062924,0.000009,0.192417,0.000013,0.000001,0.000002,0.000001,0.255368
0.093523,0.000016,0.405554,0.000020,0.000002,0.000011,0.000002,0.499127
0.072149,0.000016,0.267284,0.000019,0.000002,0.000003,0.000002,0.339474
0.090636,0.000014,0.376214,0.000017,0.000002,0.000003,0.000002,0.466887
0.090356,0.000015,0.287384,0.000014,0.000001,0.000003,0.000001,0.377774
0.067758,0.000011,0.273355,0.000016,0.000001,0.000002,0.000001,0.341145
0.093106,0.000017,0.277006,0.000019,0.000002,0.000003,0.000002,0.370154
0.064128,0.000011,0.197764,0.000013,0.000001,0.000002,0.000001,0.261920
0.088638,0.000021,0.318820,0.000020,0.000002,0.000004,0.000001,0.407507
0.087069,0.000015,0.288954,0.000018,0.000002,0.000003,0.000001,0.376062
0.082269,0.000013,0.305456,0.000015,0.000001,0.000002,0.000001,0.387756
0.090338,0.000122,0.199998,0.000013,0.000001,0.000002,0.000001,0.290475
0.042134,0.000009,1.123531,0.000017,0.000002,0.000003,0.000001,1.165698
0.088758,0.000017,0.040775,0.000019,0.000002,0.000003,0.000002,0.129576
0.066912,0.000011,0.031854,0.000014,0.000048,0.000008,0.000001,0.098848
0.064400,0.000008,0.266677,0.000018,0.000002,0.000003,0.000002,0.331109
0.093478,0.000015,0.352510,0.000020,0.000002,0.000003,0.000002,0.446030
0.087890,0.000015,0.297313,0.000021,0.000002,0.000003,0.000002,0.385246
0.089627,0.000013,0.031602,0.000017,0.000036,0.000009,0.000002,0.121306
0.088998,0.000014,0.326273,0.000017,0.000002,0.000004,0.000002,0.415309
0.059075,0.000009,0.284926,0.000025,0.000003,0.000003,0.000002,0.344043
0.063268,0.000011,0.191277,0.000015,0.000001,0.000001,0.000001,0.254575
0.091685,0.000014,0.042891,0.000018,0.000002,0.000003,0.000002,0.134615
0.092193,0.000015,0.313361,0.000013,0.000001,0.000002,0.000001,0.405587
0.089595,0.000014,0.258305,0.000017,0.000002,0.000003,0.000002,0.347938
0.088240,0.000011,0.031803,0.000015,0.000002,0.000003,0.000001,0.120076
0.064039,0.000010,0.188577,0.000013,0.000001,0.000002,0.000001,0.252644
0.063544,0.000010,0.031533,0.000016,0.000001,0.000002,0.000001,0.095107
0.067304,0.000011,0.031634,0.000014,0.000001,0.000002,0.000001,0.098968
0.064617,0.000010,0.200002,0.000015,0.000001,0.000003,0.000001,0.264649
0.067561,0.000011,0.035507,0.000015,0.000001,0.000002,0.000001,0.103097
0.066175,0.000011,0.031306,0.000016,0.000001,0.000002,0.000001,0.097513
0.065174,0.000012,0.031224,0.000015,0.000001,0.000002,0.000001,0.096430
0.064227,0.000009,0.196573,0.000015,0.000001,0.000002,0.000001,0.260828
0.065757,0.000011,0.031368,0.000014,0.000001,0.000002,0.000001,0.097154
0.065998,0.000003,0.077863,0.000016,0.000921,0.000011,0.000001,0.144812
0.067317,0.000010,0.030393,0.000015,0.000001,0.000002,0.000001,0.097740
0.066934,0.000011,0.029655,0.000015,0.000001,0.000002,0.000001,0.096620
0.065202,0.000011,0.030627,0.000016,0.000001,0.000003,0.000001,0.095861
0.064773,0.000010,0.030249,0.000014,0.000001,0.000002,0.000001,0.095052
0.066408,0.000010,0.029553,0.000015,0.000001,0.000002,0.000001,0.095991
0.067053,0.000010,0.030029,0.000014,0.000001,0.000002,0.000001,0.097110
0.065333,0.000010,0.030378,0.000015,0.000001,0.000002,0.000001,0.095741
0.065700,0.000010,0.030129,0.000016,0.000001,0.000002,0.000001,0.095859
0.065386,0.000010,0.030646,0.000004,0.000001,0.000002,0.000001,0.096050
0.066462,0.000010,0.030418,0.000004,0.000001,0.000002,0.000001,0.096897
0.067300,0.000011,0.030772,0.000012,0.000001,0.000002,0.000001,0.098098
0.067874,0.000010,0.030014,0.000015,0.000031,0.000009,0.000001,0.097954
0.062012,0.000010,0.030596,0.000014,0.000002,0.000002,0.000001,0.092637
0.065318,0.000011,0.030247,0.000015,0.000002,0.000002,0.000001,0.095596
0.066656,0.000010,0.030395,0.000014,0.000001,0.000002,0.000001,0.097079
0.067382,0.000010,0.030317,0.000014,0.000001,0.000002,0.000001,0.097727
0.066996,0.000011,0.030792,0.000015,0.000032,0.000008,0.000001,0.097857
0.064360,0.000010,0.054187,0.000015,0.000001,0.000003,0.000001,0.118577
0.065485,0.000010,0.030360,0.000014,0.000001,0.000002,0.000001,0.095874
0.066973,0.000018,0.030166,0.000014,0.000001,0.000002,0.000001,0.097177
0.068975,0.000016,0.042238,0.000015,0.000001,0.000002,0.000001,0.111249
0.081340,0.000010,0.029612,0.000014,0.000001,0.000003,0.000001,0.110981
0.066428,0.000011,0.031668,0.000015,0.000001,0.000002,0.000001,0.098127
0.066084,0.000010,0.046863,0.000015,0.000001,0.000003,0.000001,0.112977
0.067711,0.000011,0.029783,0.000015,0.000001,0.000002,0.000001,0.097525
0.066121,0.000010,0.030251,0.000015,0.000001,0.000002,0.000001,0.096402
0.061822,0.000011,0.178807,0.000015,0.000001,0.000002,0.000001,0.240658
0.064445,0.000011,0.029950,0.000015,0.000001,0.000002,0.000001,0.094425
0.066366,0.000011,0.029385,0.000014,0.000001,0.000002,0.000001,0.095780
0.067552,0.000010,0.029333,0.000004,0.000001,0.000012,0.000001,0.096914
0.066719,0.000010,0.029479,0.000014,0.000001,0.000002,0.000001,0.096227
0.066535,0.000011,0.033977,0.000017,0.000002,0.000002,0.000001,0.100544
0.065285,0.000011,0.029827,0.000016,0.000001,0.000002,0.000001,0.095142
0.066276,0.000010,0.029615,0.000015,0.000001,0.000002,0.000001,0.095921
0.067186,0.000010,0.029762,0.000014,0.000001,0.000003,0.000001,0.096978
0.066784,0.000004,0.033247,0.000015,0.000001,0.000002,0.000001,0.100055
0.065991,0.000011,0.030237,0.000015,0.000001,0.000002,0.000001,0.096259
0.065394,0.000010,0.030303,0.000014,0.000001,0.000003,0.000001,0.095726
0.066836,0.000010,0.030861,0.000014,0.000001,0.000002,0.000001,0.097726
0.066513,0.000009,0.028722,0.000014,0.000001,0.000002,0.000001,0.095263
0.066088,0.000011,0.029173,0.000014,0.000001,0.000002,0.000001,0.095291
0.066532,0.000009,0.029365,0.000015,0.000001,0.000002,0.000001,0.095924
0.062309,0.000009,0.029249,0.000016,0.000001,0.000002,0.000001,0.091587
0.065422,0.000011,0.029618,0.000016,0.000002,0.000002,0.000001,0.095072
0.066531,0.000003,0.029635,0.000016,0.000001,0.000003,0.000001,0.096190
0.067103,0.000010,0.065982,0.000016,0.000001,0.000002,0.000001,0.133116
0.065668,0.000012,0.029437,0.000004,0.000001,0.000002,0.000001,0.095124
0.065185,0.000010,0.029621,0.000014,0.000001,0.000002,0.000001,0.094835
0.066311,0.000010,0.029647,0.000016,0.000001,0.000002,0.000001,0.095987
0.067540,0.000011,0.029624,0.000015,0.000001,0.000003,0.000001,0.097195
0.066825,0.000010,0.029723,0.000015,0.000001,0.000002,0.000001,0.096577
0.065805,0.000010,0.029762,0.000014,0.000001,0.000002,0.000001,0.095596
0.065307,0.000011,0.030104,0.000015,0.000001,0.000002,0.000001,0.095441
0.066637,0.000011,0.032858,0.000015,0.000001,0.000002,0.000001,0.099525
0.067647,0.000011,0.059392,0.000017,0.000001,0.000003,0.000001,0.127072
0.066843,0.000010,0.032394,0.000015,0.000001,0.000002,0.000001,0.099265
0.065669,0.000011,0.055421,0.000017,0.000175,0.000014,0.000001,0.121307
0.066151,0.000004,0.056520,0.000016,0.000145,0.000010,0.000001,0.122848
0.065689,0.000009,0.029123,0.000015,0.000001,0.000002,0.000001,0.094841
0.067552,0.000010,0.028808,0.000015,0.000001,0.000002,0.000001,0.096389
0.067034,0.000010,0.029406,0.000015,0.000001,0.000002,0.000001,0.096470
0.065866,0.000011,0.053006,0.000016,0.000194,0.000011,0.000001,0.119105
0.066237,0.000009,0.048833,0.000017,0.000001,0.000002,0.000001,0.115101
0.066877,0.000011,0.034647,0.000016,0.000001,0.000002,0.000001,0.101556
0.066609,0.000010,0.053487,0.000018,0.000175,0.000011,0.000001,0.120312
0.066185,0.000011,0.060374,0.000019,0.000002,0.000003,0.000002,0.126596
0.066528,0.000245,0.041025,0.000014,0.000001,0.000003,0.000001,0.107817
0.067151,0.000009,0.053558,0.000016,0.000001,0.000003,0.000001,0.120739
0.068510,0.000010,0.052892,0.000016,0.000001,0.000002,0.000001,0.121432
