Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.060248,0.000010,0.222569,0.000012,0.000001,0.000002,0.000001,0.282844
0.064352,0.000011,0.201987,0.000012,0.000001,0.000003,0.000001,0.266368
0.065810,0.000011,0.195627,0.000012,0.000001,0.000002,0.000001,0.261463
0.067877,0.000004,0.264561,0.000012,0.000001,0.000002,0.000001,0.332457
0.062909,0.000010,0.204299,0.000013,0.000001,0.000003,0.000001,0.267236
0.066032,0.000014,0.202404,0.000011,0.000001,0.000002,0.000001,0.268466
0.067253,0.000011,0.215601,0.000015,0.000001,0.000002,0.000001,0.282885
0.094097,0.000015,0.332928,0.000019,0.000002,0.000004,0.000002,0.427065
0.084244,0.000011,0.201572,0.000014,0.000001,0.000002,0.000001,0.285845
0.065715,0.000011,0.302586,0.000018,0.000002,0.000004,0.000002,0.368336
0.087789,0.000018,0.220591,0.000014,0.000001,0.000003,0.000001,0.308418
0.065902,0.000015,0.272527,0.000014,0.000001,0.000003,0.000001,0.338463
0.064129,0.000010,0.223242,0.000017,0.000002,0.000003,0.000002,0.287403
0.066839,0.000012,0.198133,0.000014,0.000001,0.000002,0.000001,0.265002
0.088647,0.000017,0.290169,0.000017,0.000002,0.000003,0.000002,0.378856
0.065744,0.000010,0.249066,0.000014,0.000002,0.000002,0.000001,0.314840
0.064671,0.000010,0.429236,0.000019,0.000002,0.000002,0.000002,0.493943
0.081724,0.000012,0.273595,0.000008,0.000001,0.000006,0.000002,0.355348
0.088099,0.000012,0.199637,0.000005,0.000002,0.000003,0.000002,0.287760
0.069932,0.000014,0.272132,0.000019,0.000002,0.000005,0.000002,0.342106
0.068440,0.000012,0.247800,0.000016,0.000001,0.000002,0.000001,0.316272
0.093587,0.000014,0.323230,0.000013,0.000001,0.000002,0.000001,0.416849
0.071465,0.000013,0.221938,0.000019,0.000002,0.000003,0.000002,0.293441
0.072265,0.000016,0.454204,0.000016,0.000002,0.000004,0.000002,0.526508
0.072477,0.000014,0.303799,0.000019,0.000002,0.000004,0.000002,0.376317
