Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Total
0.043857,0.008872,0.091906,0.003613,0.000038,0.148287
0.091463,0.006086,0.083456,0.003045,0.000034,0.184084
0.056275,0.006445,0.204880,0.003599,0.000057,0.271256
0.064891,0.005685,0.194178,0.002651,0.000038,0.267443
0.078548,0.030164,0.085792,0.002842,0.000046,0.197392
0.070268,0.028605,0.083869,0.003188,0.000072,0.186001
0.084047,0.006337,0.279963,0.004294,0.000034,0.374676
0.074269,0.015176,0.204857,0.004090,0.000037,0.298428
0.085824,0.062860,0.084850,0.007965,0.000124,0.241624
0.083339,0.019566,0.264664,0.002869,0.000031,0.370469
0.058019,0.073454,0.083911,0.003519,0.000031,0.218933
0.093203,0.059712,0.076812,0.002733,0.000085,0.232544
0.092732,0.077855,0.206473,0.002614,0.000037,0.379711
0.074675,0.118915,0.081507,0.002943,0.000040,0.278079
0.089773,0.047880,0.260350,0.005192,0.001677,0.404871
0.064476,0.148406,0.081924,0.003425,0.000041,0.298271
0.058790,0.115654,0.195270,0.003112,0.000047,0.372873
0.075755,0.087213,0.383456,0.002628,0.000048,0.549100
0.088008,0.141406,0.198368,0.003702,0.000037,0.431521
0.058032,0.170577,0.268256,0.003986,0.000037,0.500888
0.057926,0.265322,0.085570,0.003156,0.000040,0.412015
0.071569,0.140597,0.238363,0.006253,0.000039,0.456821
0.090160,0.149799,0.253600,0.007785,0.000127,0.501472
0.061875,0.284670,0.088937,0.002771,0.000036,0.438290
0.089657,0.245727,0.117885,0.002968,0.000035,0.456272
0.062627,0.271371,0.279612,0.005659,0.000038,0.619308
0.063118,0.261094,0.228633,0.007682,0.000047,0.560573
0.079940,0.338486,0.085531,0.003511,0.000051,0.507519
0.062293,0.232936,0.283311,0.005939,0.000051,0.584530
0.054268,0.344588,0.085997,0.002752,0.000036,0.487642
0.072884,0.311818,0.194247,0.003114,0.000047,0.582110
0.061184,0.365487,0.083595,0.003422,0.000096,0.513784
0.075078,0.333917,0.283126,0.004048,0.000043,0.696213
0.081893,0.361953,0.084135,0.003474,0.000051,0.531506
0.060182,0.318162,0.277723,0.003594,0.000053,0.659714
0.062953,0.384359,0.189604,0.002380,0.000036,0.639333
0.074973,0.385023,0.083375,0.010024,0.000037,0.553431
0.069285,0.379259,0.084216,0.002740,0.000034,0.535534
0.064226,0.394486,0.276466,0.003228,0.000035,0.738441
0.070869,0.430976,0.087828,0.013170,0.000047,0.602889
0.077002,0.380566,0.227361,0.020949,0.000038,0.705916
0.064992,0.402345,0.245769,0.003496,0.000068,0.716670
0.075221,0.442552,0.087012,0.002931,0.000032,0.607747
0.071943,0.427668,0.087363,0.002971,0.000047,0.589992
0.071988,0.468272,0.206356,0.003705,0.000066,0.750387
0.086353,0.403604,0.282774,0.003278,0.000036,0.776045
0.060220,0.496080,0.147157,0.003948,0.015687,0.723092
0.088260,0.425045,0.270653,0.011444,0.000127,0.795529
0.086678,0.517924,0.082461,0.003101,0.000099,0.690264
0.086249,0.460566,0.238060,0.002444,0.000037,0.787356
0.058211,0.527504,0.081585,0.002186,0.000032,0.669518
0.067037,0.514118,0.183033,0.007834,0.000057,0.772079
0.058712,0.542049,0.081656,0.003536,0.000098,0.686050
0.081588,0.521527,0.247503,0.001844,0.000059,0.852521
0.086277,0.532555,0.082204,0.002625,0.000042,0.703704
0.065954,0.552886,0.242505,0.002318,0.000057,0.863719
0.069637,0.565613,0.082582,0.005217,0.000063,0.723112
0.095649,0.539548,0.187255,0.004618,0.000059,0.827130
0.063261,0.588182,0.083654,0.002762,0.000038,0.737898
0.070466,0.546493,0.264564,0.003782,0.000032,0.885336
0.073659,0.595736,0.083302,0.003577,0.000045,0.756319
0.077723,0.543209,0.207998,0.002888,0.000041,0.831860
0.060279,0.598345,0.244882,0.002824,0.000054,0.906384
0.069409,0.615793,0.083315,0.003869,0.000051,0.772437
0.061366,0.608253,0.083839,0.009339,0.000105,0.762902
0.072234,0.614841,0.270948,0.003711,0.000069,0.961802
0.062636,0.658279,0.082427,0.002231,0.000049,0.805622
0.060278,0.610781,0.217301,0.003689,0.000036,0.892084
0.064873,0.631476,0.280965,0.004437,0.000052,0.981804
0.082358,0.653650,0.080777,0.006707,0.000056,0.823549
0.065908,0.679308,0.081702,0.002924,0.000034,0.829876
0.063024,0.693807,0.219976,0.002104,0.000035,0.978946
0.068473,0.692702,0.082665,0.003285,0.000051,0.847175
0.066647,0.651295,0.232508,0.002495,0.000036,0.952983
0.086534,0.690240,0.083538,0.004364,0.000034,0.864711
0.075105,0.641693,0.247577,0.005362,0.000092,0.969828
0.088837,0.702364,0.084279,0.002661,0.000039,0.878181
0.058508,0.714030,0.231342,0.003550,0.000094,1.007524
0.059296,0.749007,0.087858,0.003882,0.000044,0.900088
