Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Dispatcher-lookup,Dispatcher-lookup,Dispatcher-lookup<->Lookup,Lookup,Lookup<->Collect-lookup,Collect-lookup,Collect-lookup<->Stat,Stat,Total
0.038041,0.006695,0.000001,0.003648,0.100703,0.002984,0.000001,0.007520,0.000001,0.003410,0.000022,0.002850,0.000001,0.005076,0.000002,0.170954
0.055138,0.006406,0.000001,0.004261,0.104073,0.002956,0.000001,0.004817,0.000001,0.003252,0.000020,0.002394,0.000001,0.003635,0.000003,0.186958
0.064032,0.005880,0.000001,0.002334,0.163346,0.003260,0.000001,0.004983,0.000001,0.003354,0.000024,0.002614,0.000001,0.004489,0.000002,0.254321
0.102084,0.005720,0.000001,0.001891,0.074211,0.002775,0.000001,0.006565,0.000001,0.009760,0.000051,0.006624,0.000001,0.004145,0.000002,0.213831
0.061021,0.005329,0.000001,0.003079,0.177137,0.003185,0.000001,0.005187,0.000001,0.008634,0.000049,0.006885,0.000001,0.003557,0.000002,0.274069
0.071001,0.005759,0.000001,0.001931,0.076025,0.003338,0.000001,0.005974,0.000001,0.009956,0.000050,0.014532,0.000001,0.004863,0.000015,0.193448
0.090159,0.004790,0.000001,0.002651,0.164745,0.002925,0.000001,0.005624,0.000001,0.010235,0.000050,0.006669,0.000001,0.003834,0.000002,0.291687
0.083138,0.005198,0.000001,0.002507,0.074550,0.003496,0.000001,0.006532,0.000001,0.021710,0.000058,0.006427,0.000001,0.005542,0.000002,0.209164
0.072665,0.005542,0.000001,0.002648,0.074375,0.003672,0.000001,0.005612,0.000001,0.008821,0.000052,0.006066,0.000001,0.004947,0.000002,0.184405
0.065230,0.006299,0.000001,0.002159,0.168102,0.003557,0.000001,0.005051,0.000001,0.008858,0.000061,0.006231,0.000001,0.004704,0.000002,0.270257
0.059293,0.004296,0.000001,0.001904,0.173248,0.003280,0.000001,0.005158,0.000001,0.008646,0.000073,0.006606,0.000001,0.004636,0.000002,0.267146
0.098364,0.004790,0.000001,0.001771,0.072363,0.002470,0.000001,0.005295,0.000001,0.009457,0.000069,0.006490,0.000001,0.003391,0.000002,0.204465
0.085839,0.004196,0.000001,0.001611,0.079871,0.004291,0.000001,0.005283,0.000001,0.008663,0.000042,0.006284,0.000001,0.003395,0.000002,0.199480
0.062942,0.005054,0.000001,0.002007,0.220387,0.003035,0.000001,0.004900,0.000001,0.009223,0.000073,0.006132,0.000001,0.003523,0.000002,0.317281
0.066348,0.003996,0.000001,0.002254,0.155838,0.003241,0.000001,0.006486,0.000001,0.003349,0.000031,0.002554,0.000001,0.003390,0.000003,0.247492
0.077197,0.004426,0.000001,0.001892,0.082193,0.002676,0.000001,0.005226,0.000001,0.008628,0.000042,0.006538,0.000001,0.004000,0.000002,0.192824
0.064486,0.004645,0.000001,0.002309,0.074837,0.002637,0.000001,0.005121,0.000001,0.008927,0.000054,0.006260,0.000001,0.003642,0.000001,0.172921
0.078201,0.004781,0.000001,0.001862,0.156027,0.002714,0.000001,0.004448,0.000001,0.011537,0.000058,0.006694,0.000001,0.003427,0.000002,0.269755
0.080644,0.004920,0.000001,0.001969,0.080815,0.003329,0.000001,0.005520,0.000001,0.011048,0.000052,0.006840,0.000001,0.004430,0.000002,0.199572
0.058968,0.005690,0.000001,0.001999,0.166028,0.003466,0.000002,0.005589,0.000001,0.017690,0.000140,0.007359,0.000001,0.004849,0.000002,0.271785
0.088370,0.005705,0.000001,0.001437,0.154373,0.002870,0.000001,0.004804,0.000001,0.008958,0.000041,0.007007,0.000001,0.004225,0.000002,0.277795
0.065714,0.004994,0.000001,0.003146,0.084713,0.002779,0.000001,0.005273,0.000001,0.003981,0.000025,0.002437,0.000001,0.004498,0.000002,0.177563
0.062637,0.004171,0.000001,0.001533,0.073995,0.003482,0.000001,0.005949,0.000001,0.008954,0.000054,0.007652,0.000001,0.004125,0.000002,0.172559
0.063117,0.004450,0.000001,0.001944,0.178489,0.003115,0.000001,0.005412,0.000001,0.009373,0.000043,0.006664,0.000001,0.003698,0.000002,0.276311
0.063592,0.004508,0.000001,0.002484,0.082426,0.003474,0.000001,0.005385,0.000001,0.009183,0.000046,0.006823,0.000001,0.004506,0.000002,0.182432
0.072114,0.004791,0.000001,0.002883,0.180153,0.003033,0.000001,0.005563,0.000001,0.011115,0.000083,0.006378,0.000001,0.004469,0.000002,0.290589
0.072321,0.004824,0.000001,0.001811,0.075050,0.002999,0.000001,0.004536,0.000001,0.003209,0.000028,0.003771,0.000001,0.003939,0.000002,0.172491
0.065510,0.004394,0.000001,0.002055,0.189873,0.002784,0.000001,0.006403,0.000001,0.009311,0.000043,0.007331,0.000001,0.004438,0.000002,0.292146
0.075042,0.004825,0.000001,0.001957,0.078527,0.003434,0.000001,0.005486,0.000001,0.009181,0.000043,0.007149,0.000001,0.004287,0.000002,0.189935
0.061346,0.004354,0.000001,0.001903,0.074439,0.002958,0.000001,0.005663,0.000001,0.003090,0.000026,0.003371,0.000001,0.003426,0.000002,0.160581
0.079536,0.005668,0.000001,0.001824,0.212641,0.003026,0.000001,0.005156,0.000001,0.003013,0.000025,0.003202,0.000002,0.003887,0.000002,0.317984
0.064985,0.004485,0.000001,0.001970,0.164875,0.003350,0.000001,0.005523,0.000001,0.009898,0.000052,0.006734,0.000001,0.003445,0.000002,0.265322
0.092165,0.004705,0.000001,0.002631,0.079552,0.002564,0.000001,0.005440,0.000001,0.013137,0.000058,0.006424,0.000001,0.004502,0.000002,0.211183
0.081474,0.004371,0.000001,0.002231,0.075520,0.002761,0.000001,0.005645,0.000001,0.008898,0.000050,0.006561,0.000001,0.004048,0.000002,0.191564
0.061547,0.006072,0.000001,0.002009,0.177357,0.002710,0.000001,0.004757,0.000001,0.003034,0.000024,0.002287,0.000001,0.003494,0.000002,0.263295
0.057922,0.005619,0.000001,0.002368,0.220575,0.002644,0.000001,0.004697,0.000001,0.008568,0.000051,0.006356,0.000001,0.004539,0.000002,0.313343
0.066225,0.003853,0.000001,0.001850,0.081268,0.003100,0.000001,0.005159,0.000001,0.020916,0.000081,0.006031,0.000001,0.003185,0.000002,0.191673
0.070719,0.004501,0.000001,0.001845,0.076049,0.003321,0.000001,0.003897,0.000001,0.008523,0.000050,0.006678,0.000001,0.003374,0.000002,0.178960
0.066733,0.004051,0.000001,0.002245,0.200897,0.002840,0.000001,0.005352,0.000001,0.002824,0.000029,0.002542,0.000001,0.003548,0.000003,0.291066
0.078991,0.005239,0.000001,0.001956,0.073214,0.002927,0.000001,0.004990,0.000001,0.001726,0.000010,0.002291,0.000001,0.005267,0.000002,0.176616
0.068857,0.004887,0.000001,0.001908,0.083501,0.003649,0.000001,0.005077,0.000001,0.009778,0.000052,0.006533,0.000001,0.003815,0.000002,0.188061
0.065087,0.004553,0.000001,0.001979,0.197564,0.003767,0.000001,0.005115,0.000001,0.008928,0.000051,0.006276,0.000001,0.003802,0.000002,0.297126
0.071749,0.005133,0.000001,0.001942,0.080357,0.003337,0.000001,0.004947,0.000001,0.003303,0.000028,0.002684,0.000001,0.004827,0.000002,0.178312
