Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.039711,0.006227,0.105309,0.014348,0.000032,0.008659,0.000002,0.174288
0.089783,0.003169,0.074112,0.010833,0.000032,0.008543,0.000003,0.186475
0.072157,0.022233,0.085446,0.009771,0.000030,0.008545,0.000002,0.198184
0.056939,0.004507,0.308188,0.014960,0.000362,0.008193,0.000002,0.393152
0.086426,0.003065,0.185671,0.026565,0.000041,0.008464,0.000002,0.310234
0.063449,0.004831,0.293688,0.013984,0.000098,0.008682,0.000002,0.384734
0.077802,0.071937,0.086057,0.014076,0.000079,0.008470,0.000002,0.258423
0.082575,0.021874,0.084428,0.010613,0.000031,0.008365,0.000003,0.207891
0.065565,0.072738,0.190740,0.010329,0.000054,0.008328,0.000003,0.347757
0.069280,0.101457,0.276441,0.010556,0.000084,0.008372,0.000002,0.466192
0.064126,0.062140,0.271000,0.016936,0.000032,0.008149,0.000002,0.422385
0.075249,0.081068,0.196619,0.010254,0.000033,0.007518,0.000002,0.370744
0.070872,0.177860,0.084584,0.010689,0.000032,0.007521,0.000002,0.351561
0.059629,0.171964,0.082271,0.010728,0.000095,0.008659,0.000002,0.333348
0.068731,0.127377,0.259767,0.011289,0.000033,0.011877,0.000003,0.479076
0.071260,0.167072,0.168506,0.009153,0.000066,0.023164,0.000002,0.439223
0.103557,0.180860,0.086690,0.011418,0.000124,0.007733,0.000002,0.390384
0.066023,0.154306,0.252030,0.009084,0.000042,0.007240,0.000002,0.488726
0.067994,0.202795,0.085174,0.010884,0.000058,0.008791,0.000002,0.375699
0.092107,0.197887,0.085504,0.010115,0.000033,0.008299,0.000003,0.393948
0.091390,0.165085,0.265826,0.011135,0.000033,0.008683,0.000002,0.542154
0.067500,0.167072,0.270286,0.010639,0.000030,0.008675,0.000002,0.524204
0.086138,0.254025,0.087174,0.010679,0.000031,0.007722,0.000002,0.445771
0.088289,0.183727,0.271917,0.010412,0.000050,0.008959,0.000002,0.563356
