Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.037161,0.006304,0.109550,0.009568,0.000050,0.010082,0.000002,0.172717
0.074694,0.002765,0.083165,0.008136,0.000031,0.009582,0.000002,0.178376
0.089606,0.002846,0.178328,0.008099,0.000042,0.009681,0.000002,0.288606
0.055910,0.004958,0.237301,0.014067,0.000033,0.009160,0.000002,0.321432
0.082929,0.014449,0.084775,0.008283,0.000043,0.010074,0.000002,0.200555
0.064638,0.017269,0.085579,0.008147,0.000033,0.010453,0.000002,0.186121
0.079882,0.002907,0.226666,0.008032,0.000044,0.010286,0.000002,0.327820
0.059988,0.073629,0.086703,0.008538,0.000033,0.009817,0.000002,0.238710
0.075855,0.053440,0.280348,0.008567,0.000033,0.009306,0.000002,0.427550
0.068740,0.029798,0.279892,0.013746,0.000037,0.008927,0.000002,0.401141
0.062184,0.049680,0.202019,0.008305,0.000031,0.008834,0.000002,0.331055
0.087014,0.127344,0.087980,0.008383,0.000031,0.009191,0.000002,0.319945
0.062683,0.094619,0.200517,0.007585,0.000031,0.013103,0.000003,0.378541
0.078632,0.120290,0.080805,0.008504,0.000072,0.009328,0.000002,0.297633
0.096689,0.082031,0.167141,0.007302,0.000032,0.008645,0.000002,0.361843
0.062793,0.154163,0.082735,0.008415,0.000032,0.008853,0.000002,0.316992
0.087543,0.091830,0.268285,0.008386,0.000035,0.009113,0.000002,0.465193
0.062351,0.123528,0.259666,0.014888,0.000031,0.009209,0.000002,0.469674
0.072949,0.141492,0.190374,0.008407,0.000040,0.009659,0.000004,0.422924
0.070200,0.161857,0.197946,0.009046,0.000034,0.009162,0.000001,0.448247
0.074153,0.213387,0.086987,0.009854,0.000033,0.008407,0.000002,0.392823
0.070939,0.147580,0.245446,0.009196,0.000030,0.008839,0.000002,0.482032
0.077386,0.202064,0.084104,0.008209,0.000032,0.009550,0.000004,0.381350
0.071109,0.223363,0.084210,0.009046,0.000044,0.009253,0.000002,0.397027
0.064421,0.205028,0.252759,0.008840,0.000053,0.009751,0.000002,0.540854
0.080975,0.217566,0.225473,0.012618,0.000445,0.010015,0.000002,0.547094
0.059912,0.286108,0.117566,0.009055,0.000040,0.010118,0.000002,0.482801
0.070681,0.226108,0.256213,0.016424,0.000044,0.011017,0.000002,0.580488
0.065409,0.300477,0.087708,0.008729,0.000039,0.009926,0.000002,0.472289
0.062095,0.263685,0.213178,0.008860,0.000039,0.009704,0.000002,0.557564
0.061962,0.263827,0.274779,0.009453,0.000061,0.009703,0.000002,0.619789
0.063156,0.318703,0.082567,0.013237,0.000057,0.009829,0.000002,0.487551
0.081199,0.319409,0.083480,0.008790,0.000035,0.008604,0.000002,0.501519
0.077309,0.281262,0.241055,0.008073,0.000033,0.008985,0.000002,0.616718
0.067584,0.344322,0.082902,0.008250,0.000031,0.008663,0.000002,0.511755
0.065509,0.338165,0.245108,0.008237,0.000039,0.009157,0.000002,0.666217
0.062075,0.372407,0.083258,0.007915,0.000031,0.009603,0.000002,0.535290
0.085220,0.284305,0.269288,0.018508,0.001668,0.012224,0.000002,0.671214
0.059291,0.340451,0.198891,0.008044,0.000031,0.009037,0.000002,0.615746
0.062826,0.387411,0.084025,0.008173,0.000041,0.009179,0.000002,0.551657
0.062357,0.388510,0.200371,0.010215,0.000052,0.010180,0.000002,0.671687
0.094298,0.339855,0.084156,0.015401,0.000099,0.010040,0.000002,0.543851
0.076017,0.403775,0.089955,0.008837,0.000041,0.010261,0.000002,0.588888
0.061523,0.383700,0.274820,0.008107,0.000032,0.009281,0.000003,0.737466
